imdb_title_id,genre,year
tt0010925,Comedy,1919
tt0010953,"Fantasy, Sci-Fi",1920
tt0010962,"Biography, Drama, Romance",1920
tt0010964,"Drama, Crime",1920
tt0010969,"Adventure, Fantasy, Mystery",1921
tt0011000,Drama,1920
tt0011130,"Drama, Horror, Sci-Fi",1920
tt0011157,"Comedy, Romance",1920
tt0011173,"Crime, Drama, Romance",1920
tt0011193,Comedy,1920
tt0011217,Drama,1921
tt0011221,Horror,1920
tt0011237,"Fantasy, Horror",1920
tt0011267,"Biography, Comedy, Drama",1920
tt0011294,Drama,1924
tt0011302,Drama,1920
tt0011317,Drama,1920
tt0011344,Drama,1920
tt0011358,"Comedy, Drama, Western",1920
tt0011369,Drama,1920
tt0011370,Drama,1920
tt0011371,"Comedy, Romance",1920
tt0011387,"Action, Adventure, Drama",1920
tt0011414,"Comedy, Romance",1920
tt0011415,Drama,1920
tt0011439,"Adventure, Romance, Western",1920
tt0011440,Drama,1921
tt0011474,"Adventure, Comedy, Romance",1920
tt0011513,Drama,1920
tt0011588,"Family, Comedy, Drama",1920
tt0011607,"Comedy, Drama, Horror",1920
tt0011623,Drama,1920
tt0011641,Comedy,1920
tt0011647,"Comedy, Western",1920
tt0011652,Comedy,1920
tt0011679,Drama,1920
tt0011716,Drama,1920
tt0011723,Adventure,1920
tt0011741,"Comedy, Drama, Romance",1920
tt0011742,"Adventure, Drama, Romance",1920
tt0011753,Mystery,1920
tt0011779,"Adventure, Drama, Western",1920
tt0011833,"Drama, Thriller",1920
tt0011837,Romance,1920
tt0011841,"Drama, Romance",1920
tt0011865,"Comedy, Drama",1920
tt0011870,"Drama, Romance",1920
tt0011904,"Crime, Drama, Mystery",1921
tt0011908,"Action, Adventure",1921
tt0011909,"Comedy, Drama",1921
tt0011948,Comedy,1921
tt0011960,"Comedy, Drama, Romance",1921
tt0011979,"Drama, Romance",1921
tt0012016,"Adventure, Fantasy, Romance",1921
tt0012027,"Drama, Romance",1921
tt0012068,"Drama, Romance",1921
tt0012122,"Comedy, Drama, Romance",1921
tt0012125,"Comedy, Romance",1921
tt0012134,Drama,1921
tt0012136,Comedy,1921
tt0012187,Drama,1921
tt0012190,"Drama, Romance, War",1921
tt0012249,Drama,1921
tt0012281,Drama,1921
tt0012313,"Adventure, Fantasy",1921
tt0012314,"Adventure, Fantasy",1921
tt0012334,Drama,1921
tt0012349,"Comedy, Drama, Family",1921
tt0012364,"Drama, Fantasy, Horror",1921
tt0012382,Comedy,1924
tt0012397,Drama,1921
tt0012408,Drama,1921
tt0012465,"Comedy, Drama",1921
tt0012486,"Comedy, Drama",1921
tt0012494,"Drama, Fantasy, Thriller",1921
tt0012513,"Action, Comedy, Romance",1921
tt0012532,"Drama, History, Romance",1921
tt0012538,"Crime, Romance, Thriller",1920
tt0012631,Drama,1921
tt0012642,Comedy,1921
tt0012645,Drama,1921
tt0012650,Drama,1921
tt0012651,"Crime, Drama, Horror",1921
tt0012675,"Adventure, Drama, Romance",1921
tt0012699,Drama,1921
tt0012745,Drama,1921
tt0012752,"Action, Adventure, Romance",1921
tt0012755,"Comedy, Drama",1921
tt0012763,Drama,1921
tt0012769,Drama,1921
tt0012806,Drama,1921
tt0012928,"Drama, Romance",1922
tt0012938,"Drama, Romance",1922
tt0012952,"Drama, Romance, Sport",1922
tt0012973,Drama,1922
tt0012975,Romance,1922
tt0013033,Drama,1922
tt0013059,"Drama, Family, Fantasy",1922
tt0013075,"Comedy, Romance",1922
tt0013085,"Adventure, Drama, Romance",1922
tt0013122,Drama,1922
tt0013134,Drama,1922
tt0013140,"Drama, Thriller",1922
tt0013169,Drama,1922
tt0013201,"Comedy, Family",1922
tt0013223,"Comedy, Drama, Horror",1922
tt0013332,"Drama, Romance",1922
tt0013367,Mystery,1922
tt0013372,Drama,1922
tt0013386,Drama,1923
tt0013402,"Drama, Romance",1922
tt0013404,Adventure,1922
tt0013428,"Drama, History",1922
tt0013442,"Fantasy, Horror",1922
tt0013450,Drama,1922
tt0013469,"Drama, Romance",1922
tt0013496,"Drama, Romance",1922
tt0013515,"Adventure, Romance",1922
tt0013556,"Adventure, Family, Romance",1922
tt0013571,"Biography, Drama, History",1922
tt0013574,"Comedy, Romance",1922
tt0013579,"Drama, Fantasy, Horror",1923
tt0013590,"Drama, Romance",1922
tt0013592,Drama,1922
tt0013597,"Drama, Mystery",1922
tt0013607,"Action, Drama, Romance",1922
tt0013619,Drama,1922
tt0013662,"Drama, Romance",1922
tt0013674,"Action, Adventure, Comedy",1922
tt0013688,"Drama, Family, Fantasy",1922
tt0013704,Drama,1922
tt0013705,"Drama, Crime",1922
tt0013741,"Drama, History",1922
tt0013750,"Romance, Drama",1922
tt0013802,"Romance, Drama",1922
tt0013830,Drama,1923
tt0013909,Drama,1923
tt0013933,"Drama, Romance",1923
tt0013951,"Adventure, Romance, Western",1923
tt0014029,"Comedy, Romance",1923
tt0014108,Drama,1923
tt0014109,"Drama, Romance",1924
tt0014112,"Adventure, Crime, Drama",1923
tt0014142,"Drama, Horror, Romance",1923
tt0014205,"Comedy, Romance",1923
tt0014341,"Comedy, Romance, Thriller",1923
tt0014358,Comedy,1923
tt0014397,Drama,1923
tt0014416,"Romance, Comedy",1923
tt0014417,Drama,1923
tt0014429,"Action, Comedy, Thriller",1923
tt0014440,"Drama, Romance",1923
tt0014446,"Drama, Romance",1923
tt0014463,Drama,1923
tt0014497,"Comedy, Drama, Romance",1923
tt0014516,Drama,1923
tt0014524,Drama,1924
tt0014532,"Biography, Drama, Fantasy",1923
tt0014538,Comedy,1923
tt0014586,"Fantasy, Horror",1924
tt0014604,"Drama, Romance",1923
tt0014605,"Drama, Romance",1923
tt0014606,"Crime, Drama, Mystery",1923
tt0014611,"Adventure, Comedy, Family",1923
tt0014624,"Drama, Romance",1923
tt0014636,"Romance, Drama",1923
tt0014646,"Adventure, Comedy, Drama",1924
tt0014672,"Drama, History, War",1924
tt0014702,"Drama, History, Romance",1924
tt0014721,"Drama, Romance, Sci-Fi",1923
tt0014760,Drama,1924
tt0014770,"Adventure, Drama",1923
tt0014826,"Drama, Horror, Romance",1924
tt0014854,"Drama, History, Romance",1924
tt0014869,Drama,1924
tt0014874,Drama,1924
tt0014898,"Drama, Romance",1925
tt0014900,Comedy,1924
tt0014925,Comedy,1924
tt0014945,"Comedy, Romance",1924
tt0014972,"Drama, Romance, Thriller",1924
tt0014982,"Comedy, Romance",1924
tt0015002,Comedy,1924
tt0015014,"Adventure, Drama, Mystery",1924
tt0015016,"History, Romance, Western",1924
tt0015018,"Drama, Romance",1924
tt0015022,"Drama, History, Romance",1924
tt0015036,Drama,1924
tt0015064,Drama,1924
tt0015116,"Drama, Comedy",1924
tt0015119,Comedy,1924
tt0015136,"Drama, Romance",1924
tt0015145,"Drama, Romance",1924
tt0015163,"Action, Comedy, Romance",1924
tt0015167,Comedy,1924
tt0015174,"Adventure, Drama, Fantasy",1924
tt0015175,"Adventure, Drama, Fantasy",1924
tt0015200,Comedy,1924
tt0015202,"Crime, Horror, Mystery",1924
tt0015213,"Comedy, Romance",1924
tt0015214,Sci-Fi,1924
tt0015224,"Adventure, Fantasy, Family",1924
tt0015268,Drama,1924
tt0015289,"Drama, History",1924
tt0015310,"Adventure, Drama, Romance",1924
tt0015312,Drama,1924
tt0015324,"Action, Comedy, Romance",1924
tt0015361,Drama,1925
tt0015400,"Adventure, Family, Fantasy",1924
tt0015493,Drama,1924
tt0015498,"Drama, Romance",1924
tt0015500,"Comedy, Drama",1924
tt0015518,Romance,1924
tt0015532,"Animation, Adventure, Family",1926
tt0015624,"Drama, Romance, War",1925
tt0015634,Drama,1925
tt0015643,Western,1925
tt0015648,"Drama, History, Thriller",1925
tt0015684,Drama,1925
tt0015687,"Adventure, Romance, Western",1925
tt0015693,"Drama, Romance",1925
tt0015758,"Adventure, Romance",1925
tt0015768,Drama,1925
tt0015772,"Action, Comedy, Drama",1925
tt0015794,"Drama, Fantasy",1925
tt0015801,Drama,1926
tt0015841,"Comedy, Family, Romance",1925
tt0015842,Drama,1925
tt0015847,Drama,1926
tt0015861,"Drama, Romance",1926
tt0015863,"Comedy, Western",1925
tt0015864,"Adventure, Comedy, Drama",1925
tt0015872,Drama,1925
tt0015881,"Drama, Thriller, Western",1924
tt0015883,Drama,1926
tt0015909,Comedy,1925
tt0015935,"Biography, Drama, History",1925
tt0016004,Comedy,1925
tt0016005,"Drama, Romance",1925
tt0016006,Drama,1925
tt0016013,"Action, Comedy, Drama",1925
tt0016023,"Drama, Romance",1925
tt0016028,"Drama, Comedy",1925
tt0016029,"Comedy, Family, Musical",1935
tt0016039,"Adventure, Fantasy, Thriller",1925
tt0016104,"Drama, Romance",1925
tt0016123,"Comedy, Horror, Mystery",1925
tt0016142,Drama,1925
tt0016185,"Action, Adventure",1925
tt0016201,"Crime, Drama, Romance",1925
tt0016205,"Comedy, Crime, Romance",1925
tt0016220,Horror,1925
tt0016226,"Comedy, Romance, Sport",1925
tt0016230,"Drama, Romance",1925
tt0016232,Drama,1925
tt0016240,Drama,1925
tt0016241,"Comedy, Drama",1925
tt0016258,"Drama, Comedy",1925
tt0016276,"Biography, Drama, Romance",1925
tt0016288,"Action, Drama, Western",1925
tt0016294,"Drama, Fantasy, Romance",1925
tt0016308,Comedy,1925
tt0016309,"Comedy, Drama",1925
tt0016310,Drama,1925
tt0016332,"Comedy, Romance",1925
tt0016338,"Adventure, Fantasy, Sci-Fi",1925
tt0016377,Drama,1925
tt0016392,Drama,1924
tt0016394,Comedy,1925
tt0016395,Drama,1925
tt0016461,Western,1925
tt0016473,"Crime, Drama, Romance",1925
tt0016480,Western,1925
tt0016481,"Crime, Drama, Romance",1925
tt0016491,"Drama, Mystery, Romance",1925
tt0016493,"Comedy, Drama, Fantasy",1926
tt0016544,"Comedy, Family, Fantasy",1925
tt0016545,"Adventure, Drama, Romance",1925
tt0016548,"Comedy, Drama",1925
tt0016559,Comedy,1925
tt0016560,"Action, Comedy, Drama",1925
tt0016563,Drama,1925
tt0016627,"Drama, Romance",1926
tt0016629,"Mystery, Thriller",1926
tt0016630,"Action, Comedy, Romance",1926
tt0016634,"Action, Adventure, Drama",1926
tt0016640,"Crime, Drama, Horror",1926
tt0016643,"Comedy, War, Drama",1926
tt0016646,"Comedy, Romance",1926
tt0016654,"Adventure, Action",1926
tt0016655,"Crime, Drama, Romance",1926
tt0016664,"Action, Drama",1926
tt0016669,"Drama, Romance",1926
tt0016672,"Comedy, Romance",1926
tt0016690,"Action, Drama, Romance",1926
tt0016691,"Drama, Romance",1926
tt0016762,Drama,1926
tt0016804,"Adventure, Romance",1926
tt0016822,"Comedy, Romance",1926
tt0016827,"Comedy, Romance",1926
tt0016832,"Comedy, Romance",1926
tt0016847,"Drama, Fantasy, Horror",1926
tt0016854,Comedy,1926
tt0016871,Comedy,1926
tt0016884,"Drama, Romance",1926
tt0016895,"Action, Comedy, Romance",1926
tt0016914,Drama,1926
tt0016939,Western,1926
tt0016947,"Action, Comedy, War",1926
tt0016953,Drama,1926
tt0016971,Comedy,1927
tt0017004,"Adventure, Comedy, Romance",1926
tt0017028,"Comedy, Romance",1926
tt0017029,Comedy,1926
tt0017048,"Drama, Thriller",1926
tt0017075,"Crime, Drama, Mystery",1927
tt0017082,"Comedy, Drama, Romance",1926
tt0017096,"Action, Drama, Fantasy",1925
tt0017103,"Drama, Fantasy, Horror",1926
tt0017119,Comedy,1926
tt0017120,"Drama, War",1926
tt0017128,Drama,1926
tt0017136,"Drama, Sci-Fi",1927
tt0017159,"Adventure, Comedy, Crime",1926
tt0017184,Comedy,1925
tt0017195,Drama,1925
tt0017196,"Drama, Romance",1926
tt0017198,"Biography, Drama, History",1926
tt0017226,"Drama, History",1926
tt0017271,Drama,1926
tt0017293,Comedy,1926
tt0017329,Drama,1926
tt0017338,Comedy,1925
tt0017350,Drama,1926
tt0017354,"Action, Adventure, Fantasy",1926
tt0017374,"Romance, Drama",1926
tt0017378,Drama,1926
tt0017382,"Comedy, Drama",1926
tt0017409,Comedy,1926
tt0017410,Comedy,1926
tt0017416,"Adventure, Drama, Romance",1926
tt0017419,"Drama, Romance",1926
tt0017423,Drama,1926
tt0017437,Comedy,1926
tt0017438,"Drama, Horror",1926
tt0017448,Drama,1925
tt0017449,"Drama, Romance",1926
tt0017463,"Romance, Western",1926
tt0017480,"Drama, Romance",1926
tt0017483,"Adventure, Comedy, Romance",1926
tt0017519,"Drama, Romance",1926
tt0017534,"Drama, Romance, Sport",1927
tt0017540,"Comedy, Drama, War",1926
tt0017567,"Drama, Romance, Western",1926
tt0017619,"Drama, Romance",1927
tt0017621,"Drama, Fantasy, Horror",1928
tt0017632,"Drama, Romance",1927
tt0017653,Drama,1927
tt0017662,"Drama, Romance, War",1927
tt0017667,"Adventure, Drama, History",1927
tt0017726,Drama,1927
tt0017735,"Drama, Romance",1927
tt0017736,"Biography, Drama",1927
tt0017739,"Comedy, Horror, Mystery",1927
tt0017750,"Comedy, Crime, Drama",1927
tt0017751,"Drama, Romance",1927
tt0017765,"Comedy, Drama, Sport",1927
tt0017809,"Comedy, Drama, Romance",1927
tt0017825,"Adventure, Drama, Thriller",1927
tt0017832,"Drama, Sport",1927
tt0017843,"Romance, Thriller",1927
tt0017860,Comedy,1927
tt0017886,"Comedy, Drama",1927
tt0017918,"Adventure, Romance",1927
tt0017925,"Action, Adventure, Comedy",1926
tt0017928,"Comedy, Romance",1927
tt0017938,"Drama, Romance",1983
tt0017961,"Comedy, Drama",1935
tt0017998,"Drama, Romance",1927
tt0018014,"Drama, War",1927
tt0018016,"Drama, Romance",1927
tt0018033,"Comedy, Romance",1927
tt0018037,"Drama, Music, Musical",1927
tt0018045,"Drama, Fantasy, War",1927
tt0018051,"Comedy, Drama, Family",1927
tt0018054,"Biography, Drama, History",1927
tt0018066,Drama,1927
tt0018087,"Drama, Romance",1927
tt0018097,Horror,1927
tt0018102,Comedy,1927
tt0018107,"Drama, Romance",1927
tt0018113,Drama,1927
tt0018138,Drama,1927
tt0018166,"Drama, Romance",1927
tt0018179,"Drama, Romance",1927
tt0018183,"Comedy, Romance",1927
