tt0003930,0-18,
tt0003930,18-30,6.7
tt0003930,30-45,6.9
tt0003930,45+,6.9
tt0003930,0-18,
tt0003930,18-30,6.7
tt0003930,30-45,6.9
tt0003930,45+,6.9
tt0003973,0-18,
tt0003973,18-30,5.7
tt0003973,30-45,5.5
tt0003973,45+,6.2
tt0004026,0-18,
tt0004026,18-30,6.5
tt0004026,30-45,6.7
tt0004026,45+,7.1
tt0004066,0-18,6.0
tt0004066,18-30,6.5
tt0004066,30-45,6.9
tt0004066,45+,7.2
tt0004066,0-18,6.0
tt0004066,18-30,6.5
tt0004066,30-45,6.9
tt0004066,45+,7.2
tt0004099,0-18,
tt0004099,18-30,4.7
tt0004099,30-45,5.2
tt0004099,45+,5.4
tt0004099,0-18,
tt0004099,18-30,4.7
tt0004099,30-45,5.2
tt0004099,45+,5.4
tt0004099,0-18,
tt0004099,18-30,4.7
tt0004099,30-45,5.2
tt0004099,45+,5.4
tt0004134,0-18,
tt0004134,18-30,6.5
tt0004134,30-45,6.4
tt0004134,45+,6.8
tt0004150,0-18,
tt0004150,18-30,5.7
tt0004150,30-45,5.7
tt0004150,45+,6.1
tt0004150,0-18,
tt0004150,18-30,5.7
tt0004150,30-45,5.7
tt0004150,45+,6.1
tt0004181,0-18,6.0
tt0004181,18-30,6.4
tt0004181,30-45,6.2
tt0004181,45+,5.8
tt0004457,0-18,
tt0004457,18-30,4.7
tt0004457,30-45,5.3
tt0004457,45+,6.0
tt0004457,0-18,
tt0004457,18-30,4.7
tt0004457,30-45,5.3
tt0004457,45+,6.0
tt0004457,0-18,
tt0004457,18-30,4.7
tt0004457,30-45,5.3
tt0004457,45+,6.0
tt0004465,0-18,
tt0004465,18-30,5.6
tt0004465,30-45,6.4
tt0004465,45+,6.4
tt0004465,0-18,
tt0004465,18-30,5.6
tt0004465,30-45,6.4
tt0004465,45+,6.4
tt0004465,0-18,
tt0004465,18-30,5.6
tt0004465,30-45,6.4
tt0004465,45+,6.4
tt0004635,0-18,5.0
tt0004635,18-30,5.5
tt0004635,30-45,5.5
tt0004635,45+,6.0
tt0004635,0-18,5.0
tt0004635,18-30,5.5
tt0004635,30-45,5.5
tt0004635,45+,6.0
tt0004635,0-18,5.0
tt0004635,18-30,5.5
tt0004635,30-45,5.5
tt0004635,45+,6.0
tt0004681,0-18,8.0
tt0004681,18-30,5.5
tt0004681,30-45,5.8
tt0004681,45+,6.6
tt0004707,0-18,5.0
tt0004707,18-30,6.3
tt0004707,30-45,6.2
tt0004707,45+,6.4
tt0004712,0-18,
tt0004712,18-30,6.6
tt0004712,30-45,6.4
tt0004712,45+,6.2
tt0004743,0-18,
tt0004743,18-30,3.8
tt0004743,30-45,5.5
tt0004743,45+,5.5
tt0004766,0-18,7.0
tt0004766,18-30,6.0
tt0004766,30-45,5.2
tt0004766,45+,5.7
tt0004825,0-18,
tt0004825,18-30,5.9
tt0004825,30-45,6.3
tt0004825,45+,6.7
tt0004825,0-18,
tt0004825,18-30,5.9
tt0004825,30-45,6.3
tt0004825,45+,6.7
tt0004838,0-18,
tt0004838,18-30,5.5
tt0004838,30-45,5.5
tt0004838,45+,6.0
tt0004838,0-18,
tt0004838,18-30,5.5
tt0004838,30-45,5.5
tt0004838,45+,6.0
tt0004872,0-18,
tt0004872,18-30,6.2
tt0004872,30-45,6.5
tt0004872,45+,6.9
tt0004872,0-18,
tt0004872,18-30,6.2
tt0004872,30-45,6.5
tt0004872,45+,6.9
tt0004873,0-18,
tt0004873,18-30,6.4
tt0004873,30-45,5.9
tt0004873,45+,6.5
tt0004873,0-18,
tt0004873,18-30,6.4
tt0004873,30-45,5.9
tt0004873,45+,6.5
tt0004873,0-18,
tt0004873,18-30,6.4
tt0004873,30-45,5.9
tt0004873,45+,6.5
tt0004972,0-18,4.7
tt0004972,18-30,6.0
tt0004972,30-45,6.3
tt0004972,45+,6.7
tt0004972,0-18,4.7
tt0004972,18-30,6.0
tt0004972,30-45,6.3
tt0004972,45+,6.7
tt0004972,0-18,4.7
tt0004972,18-30,6.0
tt0004972,30-45,6.3
tt0004972,45+,6.7
tt0005060,0-18,7.0
tt0005060,18-30,6.3
tt0005060,30-45,6.4
tt0005060,45+,6.3
tt0005078,0-18,6.0
tt0005078,18-30,6.3
tt0005078,30-45,6.4
tt0005078,45+,7.0
tt0005078,0-18,6.0
tt0005078,18-30,6.3
tt0005078,30-45,6.4
tt0005078,45+,7.0
tt0005149,0-18,
tt0005149,18-30,6.4
tt0005149,30-45,5.6
tt0005149,45+,6.1
tt0005149,0-18,
tt0005149,18-30,6.4
tt0005149,30-45,5.6
tt0005149,45+,6.1
tt0005149,0-18,
tt0005149,18-30,6.4
tt0005149,30-45,5.6
tt0005149,45+,6.1
tt0005339,0-18,5.0
tt0005339,18-30,5.6
tt0005339,30-45,5.8
tt0005339,45+,5.9
tt0005402,0-18,
tt0005402,18-30,6.3
tt0005402,30-45,5.6
tt0005402,45+,6.8
tt0005529,0-18,
tt0005529,18-30,6.9
tt0005529,30-45,6.6
tt0005529,45+,7.0
tt0005529,0-18,
tt0005529,18-30,6.9
tt0005529,30-45,6.6
tt0005529,45+,7.0
tt0005529,0-18,
tt0005529,18-30,6.9
tt0005529,30-45,6.6
tt0005529,45+,7.0
tt0005557,0-18,4.0
tt0005557,18-30,6.6
tt0005557,30-45,6.4
tt0005557,45+,6.7
tt0005680,0-18,5.0
tt0005680,18-30,5.8
tt0005680,30-45,5.9
tt0005680,45+,5.9
tt0005719,0-18,
tt0005719,18-30,4.9
tt0005719,30-45,4.8
tt0005719,45+,6.1
tt0005719,0-18,
tt0005719,18-30,4.9
tt0005719,30-45,4.8
tt0005719,45+,6.1
tt0005719,0-18,
